Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Nov14,338,194,57.4,76,22.5,19,5.6,10,3.0,39,11.5,0,0
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,35,12.4,0,0
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,37,13.7,0,0
Feb15,410,264,64.4,70,17.1,22,5.4,7,1.7,47,11.5,0,0
Mar15,463,233,50.3,111,24.0,30,6.5,27,5.8,62,13.4,0,0
Apr15,411,221,53.8,91,22.1,33,8.0,19,4.6,46,11.2,1,0.2
May15,454,289,63.7,76,16.7,27,5.9,18,4.0,44,9.7,0,0
Jun15,405,208,51.4,101,24.9,37,9.1,18,4.4,41,10.1,0,0
Jul15,317,140,44.2,88,27.8,32,10.1,15,4.7,39,12.3,3,0.9
Aug15,276,128,46.4,80,29.0,25,9.1,9,3.3,25,9.1,9,3.3
TOTALS,3627,1960,54.0,838,23.1,249,6.9,152,4.2,415,11.4,13,0.4

