Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jan16,317,183,57.7,65,20.5,19,6.0,13,4.1,35,11.0,2,0.6
Feb16,322,193,59.9,60,18.6,16,5.0,15,4.7,31,9.6,7,2.2
Mar16,477,299,62.7,75,15.7,32,6.7,14,2.9,42,8.8,15,3.1
Apr16,432,256,59.3,87,20.1,30,6.9,19,4.4,29,6.7,11,2.5
May16,479,336,70.1,65,13.6,15,3.1,16,3.3,31,6.5,16,3.3
Jun16,368,226,61.4,53,14.4,20,5.4,9,2.4,47,12.8,13,3.5
Jul16,321,185,57.6,69,21.5,13,4.0,10,3.1,35,10.9,9,2.8
Aug16,341,214,62.8,57,16.7,24,7.0,14,4.1,22,6.5,10,2.9
Sept16,295,161,54.6,73,24.7,20,6.8,12,4.1,18,6.1,11,3.7
Oct16,321,196,61.1,60,18.7,18,5.6,7,2.2,22,6.9,18,5.6
TOTALS,3673,2249,61.2,664,18.1,207,5.6,129,3.5,312,8.5,112,3.0

