Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Mar16,477,299,62.7,75,15.7,32,6.7,14,2.9,42,8.8,15,3.1
Apr16,432,256,59.3,87,20.1,30,6.9,19,4.4,29,6.7,11,2.5
May16,479,336,70.1,65,13.6,15,3.1,16,3.3,31,6.5,16,3.3
Jun16,368,226,61.4,53,14.4,20,5.4,9,2.4,48,13.0,12,3.3
Jul16,321,185,57.6,69,21.5,13,4.0,10,3.1,35,10.9,9,2.8
Aug16,341,214,62.8,57,16.7,24,7.0,14,4.1,23,6.7,9,2.6
Sept16,295,160,54.2,73,24.7,20,6.8,11,3.7,19,6.4,12,4.1
Oct16,321,196,61.1,60,18.7,17,5.3,7,2.2,25,7.8,16,5.0
Nov16,300,173,57.7,60,20.0,11,3.7,16,5.3,19,6.3,21,7.0
Dec16,214,113,52.8,40,18.7,20,9.3,7,3.3,5,2.3,29,13.6
TOTALS,3548,2158,60.8,639,18.0,202,5.7,123,3.5,276,7.8,150,4.2

